,data_transacao,transaction_count,total_transaction_value,average_transaction_value
0,2010-02-28 00:00:00+00:00,2,116.01000000000002,58.00500000000001
1,2010-03-31 00:00:00+00:00,8,1566.96,195.87
2,2010-04-30 00:00:00+00:00,0,0.0,
3,2010-05-31 00:00:00+00:00,2,15.060000000000002,7.530000000000001
4,2010-06-30 00:00:00+00:00,6,9869.880000000001,1644.9800000000002
5,2010-07-31 00:00:00+00:00,6,270.3399999999999,45.05666666666665
6,2010-08-31 00:00:00+00:00,9,10.680000000000007,1.1866666666666674
7,2010-09-30 00:00:00+00:00,20,17129.600000000002,856.4800000000001
8,2010-10-31 00:00:00+00:00,16,-484.88,-30.305
9,2010-11-30 00:00:00+00:00,2,223.62,111.81
10,2010-12-31 00:00:00+00:00,22,-50.76999999999994,-2.30772727272727
11,2011-01-31 00:00:00+00:00,21,25317.47,1205.5938095238096
12,2011-02-28 00:00:00+00:00,8,2118.54,264.8175
13,2011-03-31 00:00:00+00:00,21,92.28999999999996,4.394761904761903
14,2011-04-30 00:00:00+00:00,13,4934.55,379.58076923076925
15,2011-05-31 00:00:00+00:00,38,18156.699999999997,477.807894736842
16,2011-06-30 00:00:00+00:00,40,3325.9,83.14750000000001
17,2011-07-31 00:00:00+00:00,49,19872.8,405.5673469387755
18,2011-08-31 00:00:00+00:00,42,199160.4,4741.914285714285
19,2011-09-30 00:00:00+00:00,41,2136.6099999999997,52.112439024390234
20,2011-10-31 00:00:00+00:00,39,-3956.07,-101.43769230769232
21,2011-11-30 00:00:00+00:00,31,131012.29000000001,4226.202903225807
22,2011-12-31 00:00:00+00:00,24,14063.61,585.98375
23,2012-01-31 00:00:00+00:00,33,24433.969999999998,740.4233333333333
24,2012-02-29 00:00:00+00:00,32,-6841.54,-213.798125
25,2012-03-31 00:00:00+00:00,65,67078.88,1031.9827692307692
26,2012-04-30 00:00:00+00:00,88,222137.38,2524.288409090909
27,2012-05-31 00:00:00+00:00,75,51765.01,690.2001333333334
28,2012-06-30 00:00:00+00:00,57,145.20999999999978,2.547543859649119
29,2012-07-31 00:00:00+00:00,65,246588.91999999998,3793.675692307692
30,2012-08-31 00:00:00+00:00,41,-2098.61,-51.18560975609756
31,2012-09-30 00:00:00+00:00,47,73862.55,1571.5436170212768
32,2012-10-31 00:00:00+00:00,62,-81455.85,-1313.8040322580646
33,2012-11-30 00:00:00+00:00,73,109660.33,1502.196301369863
34,2012-12-31 00:00:00+00:00,96,18658.14,194.355625
35,2013-01-31 00:00:00+00:00,103,8239.380000000001,79.99398058252429
36,2013-02-28 00:00:00+00:00,80,57997.6,724.97
37,2013-03-31 00:00:00+00:00,93,135398.38,1455.896559139785
38,2013-04-30 00:00:00+00:00,84,141742.53,1687.4110714285714
39,2013-05-31 00:00:00+00:00,102,96136.86,942.5182352941176
40,2013-06-30 00:00:00+00:00,137,-11529.13,-84.15423357664233
41,2013-07-31 00:00:00+00:00,88,9812.18,111.50204545454545
42,2013-08-31 00:00:00+00:00,101,-3256.9299999999994,-32.24683168316831
43,2013-09-30 00:00:00+00:00,80,54782.41,684.780125
44,2013-10-31 00:00:00+00:00,90,188264.31,2091.8256666666666
45,2013-11-30 00:00:00+00:00,127,29183.75,229.79330708661416
46,2013-12-31 00:00:00+00:00,164,143889.81,877.3768902439024
47,2014-01-31 00:00:00+00:00,134,213869.0,1596.0373134328358
48,2014-02-28 00:00:00+00:00,83,-2422.0,-29.180722891566266
49,2014-03-31 00:00:00+00:00,130,78366.52,602.8193846153846
50,2014-04-30 00:00:00+00:00,122,56778.87,465.4005737704918
51,2014-05-31 00:00:00+00:00,154,60022.9,389.7590909090909
52,2014-06-30 00:00:00+00:00,134,67158.59,501.1835074626865
53,2014-07-31 00:00:00+00:00,108,372191.32,3446.215925925926
54,2014-08-31 00:00:00+00:00,120,64525.200000000004,537.71
55,2014-09-30 00:00:00+00:00,149,75683.78,507.9448322147651
56,2014-10-31 00:00:00+00:00,127,117289.6,923.540157480315
57,2014-11-30 00:00:00+00:00,117,2777.6599999999994,23.740683760683755
58,2014-12-31 00:00:00+00:00,125,-38359.52,-306.87615999999997
59,2015-01-31 00:00:00+00:00,137,18102.4,132.13430656934307
60,2015-02-28 00:00:00+00:00,94,58497.83,622.3173404255319
61,2015-03-31 00:00:00+00:00,142,80682.72,568.1881690140846
62,2015-04-30 00:00:00+00:00,197,77033.92,391.0351269035533
63,2015-05-31 00:00:00+00:00,117,103876.72,887.8352136752137
64,2015-06-30 00:00:00+00:00,175,183285.37,1047.3449714285714
65,2015-07-31 00:00:00+00:00,162,124244.58,766.9418518518519
66,2015-08-31 00:00:00+00:00,199,130197.0,654.2562814070352
67,2015-09-30 00:00:00+00:00,129,10245.65,79.4236434108527
68,2015-10-31 00:00:00+00:00,178,26680.829999999998,149.8923033707865
69,2015-11-30 00:00:00+00:00,171,124094.32,725.6977777777778
70,2015-12-31 00:00:00+00:00,196,113183.56,577.4671428571428
71,2016-01-31 00:00:00+00:00,218,158433.92,726.7611009174312
72,2016-02-29 00:00:00+00:00,193,-4622.04,-23.94839378238342
73,2016-03-31 00:00:00+00:00,205,-4711.200000000004,-22.981463414634167
74,2016-04-30 00:00:00+00:00,167,47879.85,286.7056886227545
75,2016-05-31 00:00:00+00:00,211,13982.369999999999,66.26715639810426
76,2016-06-30 00:00:00+00:00,190,50039.380000000005,263.36515789473685
